music,speech
15.875,51.70833333
14.91666667,55.25
24.58333333,55
17.66666667,54.45833333
14.33333333,57
18.16666667,51.33333333
12.125,50.5
12.25,54.66666667
13.29166667,54.125
17.83333333,54.70833333
14.625,54.375
15.08333333,50.83333333
16.875,54.125
12.45833333,54.58333333
12.45833333,47.20833333
18.16666667,50.29166667
14.16666667,54.58333333
10.70833333,51.45833333
19.75,54.04166667
14.33333333,55.54166667
16.66666667,54.16666667
23.875,52.45833333
16.70833333,55.5
15.45833333,52.875
15.41666667,55.08333333
16.79166667,52.16666667
14.75,54.08333333
13.45833333,46.25
18.54166667,50.66666667
12.625,53.29166667
16.25,49.95833333
15.75,55.70833333
14.54166667,56.95833333
17.29166667,53.95833333
17.54166667,53.5
13.04166667,53.95833333
17.20833333,55.125
14.875,49.20833333
13.41666667,55.41666667
13.5,52.04166667
15.58333333,51.95833333
12.875,55.58333333
15.66666667,48.79166667
15.625,53.45833333
14.70833333,51.16666667
18.375,55.04166667
15.54166667,56.375
14.66666667,53.25
18.5,48.95833333
12.41666667,57.625
14.95833333,50.25
15.125,51.45833333
16.91666667,51.75
10.875,50
14,49.5
18.91666667,46.79166667
18.54166667,50.75
14.375,46.70833333
15.04166667,50.54166667
14.79166667,53.5
17.75,55.25
12.04166667,51.95833333
18.29166667,55.58333333
17.91666667,48.5
17.58333333,52.16666667
14.70833333,52.54166667
16.20833333,50.16666667
11.83333333,55.29166667
15.54166667,58.875
19.875,49.58333333
12.54166667,54.25
17.83333333,51.125
16.70833333,52.95833333
12.45833333,55.66666667
18,48.95833333
15.41666667,52.875
15.29166667,55.29166667
15.875,50.95833333
17.66666667,54.79166667
13.95833333,54.875
17.08333333,52.16666667
12.625,52.70833333
15.375,51.75
14.08333333,47.29166667
13.70833333,55.875
16.25,47.70833333
16.75,54.20833333
14.79166667,57.875
17.375,52.25
15.66666667,55
12.95833333,56.5
15.5,53.33333333
18.125,53.95833333
17.45833333,53.66666667
12.375,51.875
16.54166667,56.20833333
15.04166667,53.375
15.29166667,55.66666667
19.375,48.95833333
13.125,48.45833333
14.58333333,51.95833333
13.91666667,46.25
15.70833333,52.20833333
17.95833333,53.16666667
16.54166667,47.5
15.66666667,48.08333333
16.29166667,57.16666667
17.54166667,50.375
14.375,53.125
18.58333333,49.70833333
14.875,50.08333333
15.625,51.41666667
15.08333333,57.16666667
18.58333333,53.41666667
20.08333333,55.45833333
17.33333333,50.83333333
12.41666667,59.375
18.54166667,52.75
19.08333333,52.91666667
14.20833333,52.33333333
15.375,49
13.33333333,49.83333333
14.16666667,51.95833333
12.33333333,54.41666667
16.375,52.16666667
19.29166667,53.54166667
15.08333333,54.5
11.125,58.20833333
14.66666667,48.75
15.45833333,54.25
16.41666667,54.20833333
17.33333333,54.25
13.25,52.875
14.08333333,51
17.45833333,51.29166667
14.20833333,53.95833333
15.375,52.79166667
13.125,52.41666667
15.5,53
13.45833333,52.75
16.25,50.83333333
12.16666667,53.08333333
16,55.75
19.91666667,52.79166667
15.25,56.20833333
18.70833333,54.625
18.41666667,48.83333333
16.41666667,50.45833333
16.625,51.5
14.95833333,57.625
15.20833333,48.04166667
13.83333333,51.33333333
13.875,51.29166667
16.20833333,51.58333333
10.41666667,48.91666667
13.66666667,54.95833333
16.5,52.25
17.75,54.375
15.45833333,52.625
12.41666667,50.95833333
19.29166667,55.125
15.375,53
16.70833333,53.45833333
15.58333333,51.75
17.66666667,54.54166667
14.70833333,51.875
15.5,52.79166667
16,54.91666667
13.41666667,54
19.95833333,51.91666667
14.5,56.58333333
23.58333333,49.54166667
14.91666667,55.91666667
14.04166667,50.95833333
13.83333333,55.70833333
13.25,52.25
14.33333333,51.41666667
15.95833333,49.70833333
13.25,53.95833333
19.41666667,52.95833333
19.33333333,56.08333333
14.95833333,49.75
14.875,54.41666667
21.45833333,53.41666667
15.95833333,58.54166667
14.875,49.75
12.83333333,50.04166667
16.70833333,54
15.16666667,52.04166667
15.375,51.66666667
17.04166667,50.41666667
16.29166667,50.29166667
11.83333333,56.83333333
15,48.625
13.75,52.04166667
14.33333333,46.125
11.375,53.70833333
13.625,52.41666667
16.125,48.91666667
15.79166667,51.16666667
15.20833333,54.66666667
15.125,57.5
16.25,52.79166667
12.08333333,54.66666667
17.95833333,55.58333333
13.20833333,51.91666667
12.66666667,55
16.70833333,49.70833333
17.08333333,49.58333333
13.29166667,54.5
16.41666667,51.45833333
12.41666667,51.54166667
13.58333333,55.25
17.95833333,55.95833333
13.95833333,53.95833333
14.45833333,55.41666667
16.91666667,51.70833333
18.70833333,57.25
20.20833333,50.20833333
17.45833333,48.66666667
14.625,54.375
16.29166667,51.45833333
14.375,53.45833333
11.29166667,50.375
21.375,57.41666667
15.5,53.625
15.04166667,53.75
16.875,47.375
18.16666667,55
18.54166667,52.5
15.08333333,52.875
17.41666667,54.25
13.95833333,47.625
15.125,55.875
16.79166667,53.83333333
16.33333333,53.33333333
13.875,51.91666667
16.33333333,50.70833333
17.66666667,50.91666667
18,53.45833333
16.83333333,51.95833333
13.95833333,48.54166667
12.45833333,52.20833333
17.16666667,52.79166667
15.08333333,56.20833333
21.375,52.20833333
18.375,50.875
14.45833333,50.83333333
15.41666667,49.83333333
20.95833333,51.79166667
18.79166667,53.54166667
15.25,50.5
13.54166667,57.625
16,53.20833333
